name,brewery_type,city,address,phone,website_url,longitude,latitude
Cognition Brewing Company,micro,Ishpeming,113 E Canda St,9062042724,http://www.cognitionbrewing.com,-87.6681955,46.4916806
Cognito Brewing Company,brewpub,Bangor,142 W Monroe St,9718088863,http://www.cognitobrewingcompany.com,-86.11152208,42.31308099
Cold Iron Brewing,micro,Ironwood,104 S Lowell St,9062857020,http://www.coldironbrewing.com,-90.16984913,46.45390575
ConfluxCity Brewing Company,micro,Portland,110 N Water St,5175269091,http://www.confluxcitybrew.com,-84.90321484,42.87142429
Constantine Brewing Co,brewpub,Constantine,145 S Washington St,2694351230,http://www.constantinebrewingco.com,-85.66859588,41.84164216
Cotton Brewing Co,brewpub,Adrian,626 Oak St,5179026608,http://www.cottonbrewing.com,-84.02463418,41.89136136
Cranker's Brewery,brewpub,Big Rapids,213 S State St,2317961919,,-85.483723,43.688013
Cranker's Restaurant & Brewery,brewpub,Grand Rapids,454 68th St SW,6168271919,http://www.crankersbrewery.com,,
Cranker's Restaurant & Brewery,brewpub,Mount Pleasant,1207 E Pickard St,9897791919,http://www.crankersbrewery.com,-84.76071102,43.61176916
Cravings Bistro & Pub,brewpub,Benton Harbor,1599 Mall Dr Ste B,2699349700,,,
Creston Brewery,brewpub,Grand Rapids,1504 Plainfield Ave NE,6168054523,http://www.crestonbrewery.com,-85.66252661,42.99120192
Dark Horse Brewing Co,micro,Marshall,511 S Kalamazoo Ave,2697819940,http://www.darkhorsebrewery.com,-84.96397652,42.26638824
Dead Bear Brewing Co,brewpub,Grayling,2552 S I 75 Business Loop,9897456289,,,
Dearborn Brewing,micro,Dearborn,21930 Michigan Ave,3139144187,http://www.dearbornbrewing.com,-83.2433835,42.30664415
Detroit Beer Co,brewpub,Detroit,1529 Broadway St Ste 100,3139621529,http://www.detroitbeerco.com,-83.04871786,42.335962
Dimes Brewhouse,micro,Dimondale,145 N Bridge St,5173032067,http://www.dimesbrewhouse.com,-84.6483014,42.64660055
Downey Brewing Company,micro,Dearborn,13121 Prospect St,3132888442,http://www.downeybrewingcompany.com,-83.17350725,42.31625295
Drafting Table Brewing Company,micro,Wixom,49438 Pontiac Trl,2489567279,http://www.draftingtablebeer.com,-83.53663792,42.52440117
Dragonmead Microbrewery,micro,Warren,14600 E 11 Mile Rd,5867769428,,-83.0278041,42.492142
Draught Horse Brewery,brewpub,New Hudson,57721 Grand River Ave,2486173000,http://www.draughthorsebrewery.com,-83.61459,42.5113546
EagleMonk Pub and Brewery,brewpub,Lansing,4906 W Mount Hope Hwy,5177087350,,-84.662048,42.712054
Earthen Ales,micro,Traverse City,1371 Gray Dr Ste 200,2312524270,http://www.earthenales.com,-85.6454249,44.755294
East Channel Brewing Company,micro,Munising,209 Maple St,9063873007,http://www.eastchannelbrewery.com,-86.65452518,46.40934141
East West Brewing Co,brewpub,Grand Rapids,1400 Lake Dr SE,6162885250,http://www.eastwestbrewingcompany.com,-85.634947,42.957318
Eastern Market Brewing Company,micro,Detroit,2515 Riopelle St,,http://www.easternmarket.beer,-83.03876229,42.346625
Eaton Pub & Grille Brewery / Charlotte Brewing Co,brewpub,Charlotte,214 S Cochran Ave,5175438882,http://www.eatonpub.com,-84.83579,42.549391
EB Coffee and Pub,brewpub,Caledonia,8980 N Rodgers Ct SE,6168917700,http://www.ebcoffeepub.com,-85.50839333,42.80145682
Edelbrau Brewing Company,planning,Ann Arbor,,7347075184,http://www.edelbrau.com,,
Elk Brewing Co,brewpub,Comstock Park,400 Dodge Rd NE,6162385227,,,
Elk Brewing Co,brewpub,Grand Rapids,700 Wealthy St SE,6162385227,http://www.elkbrewing.com,-85.6515221,42.9554463
Elk Street Brewery,brewpub,Sandusky,3 S Elk St,8103008049,http://www.elkstreetbrewery.com,-82.82977088,43.42036406
Ellison Brewery & Spirits,micro,East Lansing,4903 Dawn Ave,5172035498,http://www.ellisonbrewing.com,,
Eternity Brewing Co,micro,Howell,4060 E Grand River Ave,5172954904,http://www.eternitybrewing.com,-83.9948055,42.63273017
Exferimentation Brewing Company,micro,Pontiac,7 N Saginaw St,2486481377,http://www.exferimentationbrewing.com,-83.292346,42.6369922
Falling Down Beer Co.,brewpub,Warren,2270 E 10 Mile Rd,,,-82.9805361,42.4787048
Farmington Brewing Company LLC,micro,Farmington,33336 Grand River Ave,2489579543,http://fbcbrewing.com,-83.37603742,42.4649541
Farmington Underground Canning and Kegging,micro,Farmington,,,,,
Fenton Winery & Brewery,brewpub,Fenton,1370 N Long Lake Rd,8103734194,http://www.fentonwinery.com,-83.70470876,42.85155557
Fetch Brewing Co,micro,Whitehall,100 W Colby St,2312157168,http://www.fetchbrewing.com,-86.3494848,43.4097727
Fife Lake Brewery,planning,Fife Lake,,2313926757,,,
Fillmore 13 Brewery,brewpub,Pontiac,7 N Saginaw St,2489773972,http://www.fillmore13brewery.com,-83.292346,42.6369922
Final Gravity Brewing Co,brewpub,Decatur,103 N Phelps St,2694368052,http://www.finalgravitybrew.com,-85.97454749,42.10876694
Final Gravity Brewing Company,planning,Decatur,,,http://www.finalgravitybrew.com,,
Final Gravity Brewing Company,micro,Kalamazoo,246 N Burdick St,,http://www.finalgravitybrew.com,-85.58315888,42.29324471
Fireside Brewing Co.,micro,Holland,430 W 17th St Ste 27,6162943777,,,
Fort Street Brewery,brewpub,Lincoln Park,1660 Fort St,3133899620,http://www.fortstreetbeer.com,-83.17610229,42.25215845
Founders Brewing Co,regional,Detroit,456 Charlotte St,,,-83.0605729,42.34299565
Founders Brewing Co.,regional,Grand Rapids,235 Grandville Ave SW,6167761195,http://www.foundersbrewing.com,-85.6765753,42.9524964
Founders Brewing Production Facility,regional,Grand Rapids,900 Hynes Ave SW,,,-85.67523323,42.94662234
Fountain Hill Brewery,brewpub,Grand Rapids,151 Fountain St NE,6162343690,,-85.664754,42.965489
Four Leaf Brewing,brewpub,Clare,412 N McEwan St,9894246114,http://www.fourleafcraftbeer.com,-84.7683591,43.8256884
Frankenmuth Brewing Co,micro,Frankenmuth,425 S Main St,2489309440,http://www.frankenmuthbrewery.com,-83.73929404,43.32893336
Gallery Brewery,brewpub,Portland,143 Kent St,5175269060,http://www.thegallerybrewery.com,-84.90284271,42.86985871
Ghost Isle Brewing Company,planning,New Buffalo,,2195611219,,,
Glass Creek Winery,micro,Hastings,450 N Whitmore Rd,2699482752,http://www.glasscreekwinery.com,,
Gonzo's BigDogg Brewery,brewpub,Kalamazoo,140 S Westnedge Ave,2693822739,http://www.gonzosbiggdoggbrewing.com,-85.59008261,42.2908852
Grand Armory Brewing Production Facility,micro,Grand Haven,1734 Airpark Dr,3106978958,,-86.19774282,43.03862147
Grand Armory Brewing Co,micro,Grand Haven,17 S 2nd St,6164147822,http://www.grandarmorybrewing.com,-86.2312558,43.06378759
Grand Rapids Brewing Company,brewpub,Grand Rapids,1 Ionia Ave SW Ste 100,6164587000,http://www.grbrewingcompany.com,,
Grand River Brewery,brewpub,Jackson,117 W Louis Glick Hwy,5179622427,http://www.grandrivermarketplace.com,-84.406597,42.249334
Grand River Brewery,planning,Marshall,,,,,
Grande Mere Inn / Cranberry Bog Bar,brewpub,Stevensville,5800 Red Arrow Hwy,2694293591,http://www.grandemereinn.com,-86.5287857,42.01274111
Granite City Food & Brewery,brewpub,Detroit,100 Renaissance Ctr,,,-83.04053931,42.32916295
Granite City Food & Brewery (#28),brewpub,Troy,699 W Big Beaver Rd,2485191040,http://www.gcfb.com,-83.1616138,42.56225169
Granite City Food & Brewery (#32),brewpub,Northville,39603 Traditions Dr,2486623400,http://www.gcfb.net,,
Gravel Bottom Craft Brewery,micro,Ada,452 Ada Dr SE,6169207398,http://www.gravelbottom.com,-85.4857858,42.955144
Great Baraboo Brewing Co,brewpub,Clinton Township,35905 Utica Rd,5867927397,http://www.greatbaraboo.com,-82.96514018,42.56028034
"Great Legs Winery, Brewery, and Distillery",micro,Holland,332 E Lakewood Blvd,6169169729,http://www.greatlegswinery.com,,
Green Bird Cellars and Organic Farms,micro,Northport,9825 E Engles Rd,2313865636,http://www.greenbirdcellars.com,,
Greenbush Brewing Co,micro,Sawyer,5885 Sawyer Rd,2694051076,http://greenbushbrewing.com,-86.59431314,41.88557686
Greyline Brewing,brewpub,Grand Rapids,1727 Alpine Ave NW,6168213786,,-85.68843549,42.99474375
Griffin Claw Brewing Co,micro,Birmingham,575 S Eton St,,http://www.griffinclawbrewingcompany.com,-83.19546429,42.5434572
Grizzly Peak Brewing Co,brewpub,Ann Arbor,120 W Washington St Ste 1,7347417325,http://www.grizzlypeak.net,,
Guardian Brewing Company,planning,Saugatuck,,8125213611,http://www.guardianbrewingco.com,,
Harmony Brewing Co,brewpub,Grand Rapids,1551 Lake Dr SE,6162330063,,-85.63066846,42.95501346
Harmony Brewing Company - Harmony Hall,brewpub,Grand Rapids,401 Stocking Ave NW,,,-85.684118,42.970732
Harpers Restaurant and Brewpub,brewpub,East Lansing,131 Albert Ave,5173334040,http://www.harpersbrewpub.com,-84.48282452,42.73626665
Harsens Island Beer Co.,brewpub,Marysville,808 Gratiot Blvd,,,-82.47149301,42.92247389
HawkPeak Brewing Company DBA Grand Haven Brew House,brewpub,Grand Haven,101 Washington Ave # 2B,6166072060,http://www.grandhavenbrewhouse.com,,
Haymarket Brewery and Taproom,micro,Bridgman,9301 Red Arrow Hwy,3126380707,,-86.55947806,41.94715363
Heavenly Vineyards,micro,Morley,15946 Jefferson Rd,6167102751,http://heavenlyvineyards.weebly.com,-85.463503,43.489827
Hereford and Hops Steakhouse and Brewpub,brewpub,Escanaba,624 Ludington St,9067891945,http://www.herefordandhops.com,-87.0564571,45.7458964
Hideout Brewing Co,brewpub,Grand Rapids,3113 Plaza Dr NE,6163619658,http://www.hideoutbrewing.com,,
Hillsdale Brewing Company,brewpub,Hillsdale,25 Hillsdale St,5172128182,,-84.63154725,41.92470888
HomeGrown Brewing Company,brewpub,Oxford,28 N Washington St,2488918290,http://www.homegrownbrewco.com,-83.26650386,42.82656071
HOMES Brewery,brewpub,Ann Arbor,2321 Jackson Ave,7349546637,http://www.homesbrewery.com,-83.77845211,42.28032635
Hometown Cellars Winery & Brewery,micro,Ithaca,108 E Center St Ste D,9898756010,http://www.hometowncellars.com,,
"Hop Head Farms Brewing, LLC",planning,Baroda,,,,,
Hop Lot Brewing Co.,brewpub,Suttons Bay,658 S West Bay Shore Dr,2318664445,http://www.hoplotbrewing.com,,
Hopcat,brewpub,Grand Rapids,25 Ionia Ave SW Ste 100,6164514677,http://www.hopcat.com,,
"Hops, Bitters, And Mash",planning,Allen Park,,,,,
"Howell's MainStreet Winery, Brewery & Pizzeria",brewpub,Howell,201 W Grand River Ave,5175459463,http://www.howellsmainstreetwinery.com,-83.93080102,42.60768396
Hunter's Ale House,brewpub,Mount Pleasant,4855 E Blue Grass Rd,9897792626,,,
Ironbark Brewery,micro,Jackson,2610 Kibby Rd,5177487988,,-84.43762976,42.2188971
Jaden James Brewery @ The Cascade Winery,brewpub,Grand Rapids,4665 Broadmoor Ave SE Ste 135,6166564665,http://jadenjamesbrewery.com,-85.583194,42.909899
Jamesport Brewing Co,brewpub,Ludington,410 S James St,2318452522,http://www.jamesportbrewingcompany.com,-86.44787302,43.95168567
Jamex Brewing Co,micro,Saint Clair Shores,21721 Harper Ave,5869442030,http://www.jamexbrewing.com,-82.8986171,42.5171113
Jasper Ridge Brewing Co,brewpub,Ishpeming,1075 Country Ln Ste 100,9064856017,http://www.countryvillageresort.com/httpdocs/html/brewery.html,-87.6791485,46.50148242
Jolly Pumpkin Artisan Ales,micro,Dexter,2319 Bishop Cir E,7344264962,http://www.jollypumpkin.com,-83.87683682,42.32487277
Jolly Pumpkin Cafe and Brewery,brewpub,Ann Arbor,311 S Main St,7349132730,http://www.jollypumpkin.com,-83.7484551,42.2791598
Jolly Pumpkin Pizzeria and Brewery,brewpub,Grand Rapids,428 Bridge St NW,6164194676,,-85.6800865,42.970511
"Jolly Pumpkin Restaurant, Brewery & Distillery",micro,Traverse City,13512 Peninsula Dr Old Mission Peninsula,2312234333,http://www.jollypumpkin.com,,
Kelsey Block Brewing Company,brewpub,Three Rivers,41 N Main St,2697183667,http://www.kelseyblock.com,-85.63333961,41.94474661
Keweenaw Brewing Co,micro,Houghton,408 Shelden Ave,9064825596,http://www.keweenawbrewing.com,-88.5687729,47.1219857
Keweenaw Brewing Co - Production Facility,micro,Houghton,408 Shelden Ave,9064821937,http://www.keweenawbrewing.com,-88.5687729,47.1219857
Kickstand Brewing Co,brewpub,Commerce Township,3050 Union Lake Rd Ste 4A,2483015941,http://www.kickstandbrewingco.com,,
Kitzingen Brewery,brewpub,Wyoming,1760 44th St SW Ste 8,6168055077,http://www.Kitzingen-Brewery.com,,
Kuhnhenn Brewing Co,micro,Warren,5919 Chicago Rd,5869798361,http://www.kuhnhenn.beer,-83.023691,42.523306
Kuhnhenn Clinton Township,micro,Clinton Township,36000 Groesbeck Hwy,5862310249,,-82.91782739,42.56179646
Lake Ann Brewing Co,micro,Lake Ann,6535 First St,2316402327,http://www.lakeannbrewing.com,,
Lake Charlevoix Brewing Company,brewpub,Charlevoix,111 Bridge Park Dr,2314373220,http://www.lakecharlevoixbrewing.com,-85.25800112,45.31728307
Lake Superior Brewing Co,brewpub,Grand Marais,N-14283 Lake Avenue,9064942337,http://www.grandmaraismichigan.com/LSBC,,
Lansing Brewing Company,brewpub,Lansing,518 E Shiawassee St,5175996001,,-84.5455093,42.7368424
Latitude 42,brewpub,Portage,7842 Portage Rd Attn: Scott Freitas,2694594242,http://www.latitude42brewingco.com,,
Lehmans Orchard Brewery and Farmhouse,brewpub,Buchanan,204 N Red Bud Trl,2693624063,http://www.lehmansfarmhouse.com,-86.35834031,41.82910596
Les Cheneaux Distillers,brewpub,Cedarville,172 S Meridian St,9064841213,http://www.lescheneauxdistillers.com,-84.36301089,45.99742724
Lexington Brewing Co,brewpub,Lexington,5475 Main St,8103595012,http://www.lexingtonbrewery.com,-82.530867,43.2678755
Liberty Street Brewing Co,micro,Plymouth,149 W Liberty St Ste 1,2487054171,http://www.libertystreetbeer.com,,
Liberty Street Brewing Production Facility,micro,Livonia,11721 Levan Rd,,,-83.40169843,42.36866123
"Library Restaurant, Bar and Brewpub",brewpub,Houghton,62 Isle Royale St,9064875882,http://www.librarybrewpub.com,-88.56701063,47.12215913
Lilys Seafood Restaurant and Brewery,brewpub,Royal Oak,410 S Washington Ave,2485915459,,-83.14668688,42.487039
Lockside Brewery / 1668 Winery,brewpub,Sault Sainte Marie,100 W Portage Ave,9062595035,http://1668winery.com/thebeers/,-84.34705,46.500695
Loggers Brewing Company,micro,Saginaw,1215 S River Rd,9894013085,http://www.loggersbrewingcompany.com,-84.05193542,43.40518225
Looking Glass Brewing Company,brewpub,Dewitt,115 N Bridge St,5175827287,http://www.facebook.com/DeWittBreweryProject/,-84.56922371,42.84243629
Lucky Girl Brewing Co Crossroads,brewpub,Paw Paw,34016 M 43,2696280054,http://luckygirlcrossroads.com,,
Ludington Bay Brewing Co,brewpub,Ludington,515 S James St,2312396690,http://ludingtonbaybrewing.com,-86.44763415,43.95070214
Lumber Barons Brewery,brewpub,Bay City,804 E Midland St,9898910100,http://www.lumberbaronsbrewery.com,,
Lynchpin Beer Company / The Laundry,brewpub,Fenton,115 W Shiawassee Ave,8106298852,http://www.lunchandbeyond.com,-83.70642814,42.792852
Macatawa Ale Company,micro,Holland,102 S River Ave,6168487677,http://www.macatawaalecompany.com,-86.10911659,42.79223968
Mackinaw Brewing Co,brewpub,Traverse City,161 E Front St,2319331100,http://www.mackinawbrewing.com,-85.62124459,44.76426455
Mackinaw Trail Brewing Company / Mackinaw Trail Winery and Brewery,micro,Manistique,103 W Lakeshore Dr,9063412303,http://www.mackinawtrailwinery.com,-86.2503664,45.9535761
McIntosh Orchards,micro,South Haven,6431 107th Ave,7078783734,http://www.mcintoshorchards.com,,
MDs Sports Tavern and Grill,brewpub,Davison,3040 N State Rd,8106536408,http://www.mdsportstavern.com,-83.5173133,43.05021425
MI Brewery / Kayla Rae Cellars,micro,Rockford,31 Courtland St,6169517001,http://www.kaylaraecellars.com,,
Michigan Brewing Works,brewpub,Williamston,3435 Dietz Rd,5176557777,,,
Midland Brewing Co,brewpub,Midland,5011 N Saginaw Road,9892597210,http://www.midlandbrewing.com,-84.2910925,43.6408678
Midtown Brewing Co,micro,Lansing,402 S Washington Sq,5179771349,http://www.midtownbrewingco.com,,
Mishigama Craft Brewing / Ypsi Alehouse,brewpub,Ypsilanti,124 Pearl St Ste 100,7344871555,http://www.ypsialehouse.com,,
Mitten Brewing Co - Northport,brewpub,Northport,112 W Nagonaba St,6163182448,,-85.61801909,45.129833
Motor City Brewing Works,brewpub,Detroit,470 W Canfield St,3138322700,http://www.motorcitybeer.com,-83.06603733,42.3518156
Motor City Brewing Works Warehouse,micro,Detroit,441 W Canfield St,,,-83.06474893,42.35151997
Mountain Town Brewing Co,micro,Mt Pleasant,614 W Pickard St,9894004666,http://www.mountaintownbrew.com,-84.78689552,43.61180948
Mountain Town Station Restaurant & Brew Pub,brewpub,Mt Pleasant,506 W Broadway St,9894004666,http://www.mountaintownbrew.com,-84.7822205,43.604568
New Holland Brewing,planning,Battle Creek,,,,,
New Holland Brewing Co,regional,Holland,66 E 8th St,6163556422,http://www.newhollandbrew.com,-86.10411872,42.79010355
New Holland Brewing Co - Production Facility,regional,Holland,690 Commerce Ct,6165102259,,,
New Union Brewing,micro,Lowell,400 W Main St,6163197171,http://www.newunionbrewery.com,-85.355545,42.931398
Newaygo Brewing Co,brewpub,Newaygo,19 State Rd,2314526551,http://www.newaygobrewing.com,-85.79585808,43.42386642
